KOD_ZSJ_P;hour;day;users
8591;15;workday;831
8591;16;workday;999
8591;17;workday;1094
8591;18;workday;1192
8591;19;workday;1301
8591;20;workday;1347
8591;21;workday;1336
8591;22;workday;1333
8591;23;workday;1311
8591;6;weekend;1444
8591;7;weekend;1472
8591;8;weekend;1480
8591;9;weekend;1487
8591;10;weekend;1452
8591;11;weekend;1518
8591;12;weekend;1514
8591;13;weekend;1514
8591;14;weekend;1513
8591;15;weekend;1597
8591;16;weekend;1612
8591;17;weekend;1555
8591;18;weekend;1552
8591;19;weekend;1543
8591;20;weekend;1545
8591;21;weekend;1556
8591;22;weekend;1554
8591;23;weekend;1540
9342;6;workday;162
9342;7;workday;149
9342;8;workday;126
9342;9;workday;119
9342;10;workday;120
9342;11;workday;95
9342;12;workday;91
9342;13;workday;92
9342;14;workday;101
9342;15;workday;104
9342;16;workday;126
9342;17;workday;145
9342;18;workday;164
9342;19;workday;174
9342;20;workday;179
9342;21;workday;180
9342;22;workday;177
9342;23;workday;179
9342;6;weekend;210
9342;7;weekend;216
9342;8;weekend;219
9342;9;weekend;228
9342;10;weekend;233
9342;11;weekend;236
9342;12;weekend;238
9342;13;weekend;245
9342;14;weekend;243
9342;15;weekend;245
9342;16;weekend;255
9342;17;weekend;244
9342;18;weekend;228
9342;19;weekend;233
9342;20;weekend;229
9342;21;weekend;231
9342;22;weekend;231
9342;23;weekend;228
9377;6;workday;517
9377;7;workday;467
9377;8;workday;458
9377;9;workday;444
9377;10;workday;441
9377;11;workday;424
9377;12;workday;402
9377;13;workday;376
9377;14;workday;367
9377;15;workday;425
9377;16;workday;476
9377;17;workday;500
9377;18;workday;515
9377;19;workday;520
9377;20;workday;495
9377;21;workday;481
9377;22;workday;468
9377;23;workday;464
9377;6;weekend;549
9377;7;weekend;569
9377;8;weekend;622
9377;9;weekend;646
9377;10;weekend;677
9377;11;weekend;669
9377;12;weekend;677
9377;13;weekend;698
9377;14;weekend;736
9377;15;weekend;733
9377;16;weekend;707
9377;17;weekend;731
9377;18;weekend;730
9377;19;weekend;692
9377;20;weekend;636
9377;21;weekend;611
9377;22;weekend;585
9377;23;weekend;581
9563;6;workday;337
9563;7;workday;316
9563;8;workday;283
